Venue Name,Venue type,Venue address,Latitude,Longitude
"Berkshire Crescent Park, Wishart",Park,"Berkshire Crescent Park, 17 Berkshire Crescent, Wishart",-27.549,153.0994
"Bermingham Street Park, Alderley",Park,"Bermingham Street Park, 25 Bermingham Street, Alderley",-27.4221,152.9985
"Bert Wolfe Park, Bald Hills",Park,"Bert Wolfe Park, 11 Ulva Street, Bald Hills",-27.3138,153.0089
"Beryl McKenzie Park, Holland Park West",Park,"Beryl McKenzie Park, 54 Nursery Road, Holland Park West",-27.5337,153.0641
"Beryl Roberts Park, Coopers Plains",Park,"Beryl Roberts Park, 45A Baroda Street, Coopers Plains",-27.5652,153.0409
Bethania Street Community Garden,Community Garden,"Bethania Street Community Garden, 38 Bethania Street, Lota",-27.469,153.1841
"Biami Yumba Park, Fig Tree Pocket",Park,"Biami Yumba Park (Fig Tree Pocket Reserve), 838 Fig Tree Pocket Road, Fig Tree Pocket",-27.5407,152.9708
"Bill Benham Park, Hemmant",Park,"Bill Benham Park, 15 Wallflower Street, Hemmant",-27.4467,153.1211
"Bill Brown Sports Reserve (includes Hidden World Playground), Fitzgibbon",Park,"Bill Brown Sports Reserve, 411 Roghan Road, Fitzgibbon",-27.3399,153.0339
"Bill Cash Memorial Park, Cannon Hill",Park,"Bill Cash Memorial Park, 898 Wynnum Road, Cannon Hill",-27.467,153.0864
"Bill Hewitt Reserve, Camp Hill",Park,"Bill Hewitt Reserve, 147 Samuel Street, Camp Hill",-27.5034796,153.0837343
"Bill Key Lock Place Park, Inala",Park,"Bill Key Lock Place Park, 17 Oriole Street, Inala",-27.6028,152.982
"Bill Lamond Park, Lota",Park,"Bill Lamond Park, 34 Andrew Street, Lota",-27.4727,153.1871
"Bill Moore Park, Salisbury",Park,"Bill Moore Park, 10 Toorak Road, Salisbury",-27.5485,153.0282
"Billabong Place Park, Algester",Park,"Billabong Place Park, 223 Nottingham Road, Algester",-27.6312,153.0353
"Bilston Street Park, Stafford",Park,"Bilston Street Park, 21 Bilston Street, Stafford",-27.4141,153.0106
"Bisset Place Park, McDowall",Park,"Bisset Place Park, 26 Bisset Place, McDowall",-27.3849,152.9914
"Blackbutt Place Park, Brookfield",Park,"Blackbutt Place Park, 23A Blackbutt Place, Brookfield",-27.5061,152.9289
"Bliss Street Park (Lot 29), Gaythorne",Park,"Bliss Street Park (Lot 29), 7A Bliss Street, Gaythorne",-27.4222,152.9762
"Bliss Street Park (No.39), Gaythorne",Park,"Bliss Street Park (No.39), 39 Bliss Street, Gaythorne",-27.4225,152.9784
"Blue Gum Park, Zillmere",Park,"Blue Gum Park, 18A Spano Street, Zillmere",-27.3526,153.0335
"Blue Range Drive Park, Algester",Park,"Blue Range Drive Park, 27 Blue Range Drive, Algester",-27.6026,153.0354
"Bognor Street Park, Tingalpa",Park,"Bognor Street Park, 90 Bognor Street, Tingalpa",-27.4666,153.1463
"Boles Street Park, Stafford",Park,"Boles Street Park, 2 Boles Street, Stafford",-27.4062,153.0025
"Bolton Street Park, Eight Mile Plains",Park,"Bolton Street Park, 42 Bolton Street, Eight Mile Plains",-27.5785,153.0922
"Bonemill Road Park, Runcorn",Park,"Bonemill Road Park, 200 Daw Road, Runcorn",-27.5887,153.0751
"Booker Place Park, Bellbowrie",Park,"Booker Place Park, 89 Birkin Road, Bellbowrie",-27.5637,152.8926
"Booloumba Crescent Park, Forest Lake",Park,"Booloumba Crescent Park, 35 Booloumba Crescent, Forest Lake",-27.6315,152.966
"Boondall Park, Boondall",Park,"Boondall Park, 2332 Sandgate Road, Boondall",-27.3389,153.0571
Boondall Wetlands,Park,"Boondall Wetlands, 1512 Nudgee Road, Nudgee Beach",-27.3365,153.0643
Boondall Wetlands Environment Centre,Park,"Boondall Wetlands Environment Centre, 31 Paperbark Drive (entry via Stanworth Rd), Boondall",-27.3367,153.0741
"Boorabbin Picnic Ground, Wishart",Park,"Boorabbin Picnic Ground, 677A Mt Gravatt-Capalaba Road, Wishart",-27.5529,153.1108
"Booral Street Park, Sunnybank Hills",Park,"Booral Street Park, 14 Bonyi Street, Sunnybank Hills",-27.5963,153.0624
"Boorala Crescent Park, Eight Mile Plains",Park,"Boorala Crescent Park, 8 Narmar Court, Eight Mile Plains",-27.5683,153.0965
"Borage Place Park, Calamvale",Park,"Borage Place Park, 54 Shelduck Place, Calamvale",-27.6288,153.0503
"Bordeaux Street Park, Eight Mile Plains",Park,"Bordeaux Street Park, 114 Bordeaux Street, Eight Mile Plains",-27.5853,153.0899
"Borella Road Park, Sunnybank Hills",Park,"Borella Road Park, 23 Borella Road, Sunnybank Hills",-27.5972,153.0541
"Boronia Park, Forest Lake",Park,"Boronia Park, 36 Evergreen Place, Forest Lake",-27.6186,152.9589
"Boundary Street Park (no. 349), West End",Park,"Boundary Street Park (no. 349), 349 Boundary Street, West End",-27.4899,153.0101
"Bowden Park, Geebung",Park,"Bowden Park, 30 Dartnell Street, Geebung",-27.3736,153.0503
"Bowen Park, Bowen Hills",Park,"Bowen Park, 3 Bowen Bridge Road , Bowen Hills",-27.4488,153.0298
"Bowhill Road Park, Willawong",Park,"Bowhill Road Park, 300 Bowhill Road, Willawong",-27.5867,152.9956
"Bowie's Flat Park, Camp Hill",Park,"Bowie's Flat Park, 66 Leicester Street, Camp Hill",-27.4944,153.0653
"Bowman Park, Bardon",Park,"Bowman Park, 247 Simpsons Road, Bardon",-27.4581,152.9771
"Boyd Park, Nundah",Park,"Boyd Park, 11 Boyd Road, Nundah",-27.401,153.0571
"Boyd Terrace Park, Brookfield",Park,"Boyd Terrace Park, 191 Rafting Ground Road, Brookfield",-27.505,152.9185
"Bracken Ridge BMX facility, Fitzgibbon",General Council venue,"Bracken Ridge BMX facility, Corner of Telegraph Road and Lemke Road, Fitzgibbon",-27.3312753,153.0442237
"Bracken Ridge Hall, Bracken Ridge",Community Hall,"Bracken Ridge Hall, 77 Bracken Street, Bracken Ridge",-27.3178,153.0384
Bracken Ridge Library,Library,"Bracken Ridge Library, 77 Bracken Street, Bracken Ridge",-27.318,153.0379
"Bracken Ridge Skate Plaza, Fitzgibbon",General Council venue,"Bracken Ridge Skate Plaza, 523 Telegraph Road, Fitzgibbon",-27.3325,153.0425
Bracken Ridge Uniting Church Hall,Community Hall,"Bracken Ridge Uniting Church Hall, Corner Pellinore Street and Bracken Road, Bracken Ridge",-27.3168,153.0379
"Bradbury Park, Kedron",Park,"Bradbury Park, 91 Kitchener Road, Kedron",-27.3962,153.0279
"Bradshaw Park, Lutwyche",Park,"Bradshaw Park, 20 Lamington Avenue, Lutwyche",-27.4195,153.0323
"Brady Bushland Park, Runcorn",Park,"Brady Bushland Park, 430 Gowan Road, Runcorn",-27.608,153.0642
"Brampton Street Park, Eight Mile Plains",Park,"Brampton Street Park, 72 Brampton Street, Eight Mile Plains",-27.5722,153.0984
"Breakwater Park, Wynnum",Park,"Breakwater Park, Waterloo Esplanade, Wynnum",-27.4363,153.174
"Breene Court Park, Carindale",Park,"Breene Court Park, 15 Breene Court, Carindale",-27.5109,153.1119
"Breton Street Park, Sunnybank",Park,"Breton Street Park, 90 Breton Street, Sunnybank",-27.5776,153.0484
Bretts Wharf plaza,General Council venue,"Bretts Wharf plaza, Kingsford Smith Drive, Hamilton",-27.439231,153.062142
Brian Hallinan Bikeway,Park,"Brian Hallinan Bikeway, Riaweena Street, The Gap",-27.4458,152.9414
"Bridge Street Park, Red Hill",Park,"Bridge Street Park, 39 Bridge Street, Red Hill",-27.4484,153.0006
"Bridgeman Place Park, Forest Lake",Park,"Bridgeman Place Park, 20 Bridgeman Place, Forest Lake",-27.612,152.9768
"Bridgnorth Street Park (no. 71), Carindale",Park,"Bridgnorth Street Park, 71 Bridgnorth Street, Carindale",-27.5067,153.1112
Brighton mobile library,Mobile library,"Brighton mobile library, Decker Park car park, 25th Avenue, Brighton",-27.2867,153.0646
"Brighton Park, Brighton",Park,"Brighton Park, 596 Beaconsfield Terrace, Brighton",-27.2826,153.0606
Brisbane Botanic Gardens Mt Coot-tha,Park,"Brisbane Botanic Gardens Mt Coot-tha, 152 Mt Coot-tha Road, Toowong",-27.4759,152.9777
"Brisbane City Hall, Brisbane City",General Council venue,"Brisbane City Hall, 64 Adelaide Street, Brisbane City",-27.4691,153.0241
"Brisbane Corso Park, Yeronga",Park,"Brisbane Corso Park, 323 Brisbane Corso, Yeronga",-27.5059,153.0102
"Brisbane Institute of Art, Windsor",General Council venue,"Brisbane Institute of Art, 41 Grafton Street, Windsor",-27.4326,153.0345
Brisbane Koala Bushlands,Park,"Brisbane Koala Bushlands, Alperton Road, Burbank",-27.5738,153.1613
"Brisbane Powerhouse, New Farm",General Council venue,"Brisbane Powerhouse, 119 Lamington Street, New Farm",-27.4674,153.0528
Brisbane Square Library,Library,"Brisbane Square Library, 266 George Street, Brisbane City",-27.4711,153.0226
"Bristol Park, Wavell Heights",Park,"Bristol Park, 356 Rode Road, Wavell Heights",-27.3949,153.0363
"Brittain Park, Coopers Plains",Park,"Brittain Park, 168 Troughton Road, Coopers Plains",-27.5689,153.0471
"Broadwater Picnic Ground Park, Mansfield",Park,"Broadwater Picnic Ground Park, 20 Mansfield Place, Mansfield",-27.5439,153.1122
"Brook Street Park, Everton Park",Park,"Brook Street Park, 20 Brook Street, Everton Park",-27.4102,152.9874
"Brookfield Cemetery, Brookfield",General Council venue,"Brookfield Cemetery, 665 Brookfield Road, Brookfield",-27.493,152.9112
"Brookfield Recreation Reserve, Brookfield",Park,"Brookfield Recreation Reserve, 48 Boscombe Road, Brookfield",-27.4926,152.9128
"Brookfield Road Park, Kenmore Hills",Park,"Brookfield Road Park, 18 Branton Street, Kenmore Hills",-27.5067,152.9309
"Broula Park, Stafford Heights",Park,"Broula Park, 55 Dorrigo Street, Stafford Heights",-27.404,153.0208
"Brownlee Street Park, Pinkenba",Park,"Brownlee Street Park,129 Brownlee Street, Pinkenba, Australia",-27.3963,153.136
Bruce Reynold's studio,Non-Council venue,"Bruce Reynold's studio, 105 Norman Street, Woolloongabba",-27.4918,153.0447
"Bruna Street Park, Runcorn",Park,"Bruna Street Park, 18 Bruna Street, Runcorn",-27.5985,153.0664
"Brunswick Street Mall, Fortitude Valley",General Council venue,"Brunswick Street Mall, Brunswick Street, Fortitude Valley",-27.4567,153.0329
"Brush Box Place Park, Heathwood",Park,"Brush Box Place Park, 21 Brush Box Place, Heathwood",-27.6322,152.9935
"Brushbox Park, Upper Mount Gravatt",Park,"Brushbox Park, 142 Lumley Street, Upper Mount Gravatt",-27.5531,153.0882
"Brydon Street Park, Highgate Hill",Park,"Brydon Street Park, 19 Brydon Street, Highgate Hill",-27.4888,153.016
"Buckingham Place Park, Eight Mile Plains",Park,"Buckingham Place, Park, 81 Manchester Street, Eight Mile Plains",-27.5752,153.0965
"Buckley Street Park, Carina Heights",Park,"Buckley Street Park, 1020 Creek Road, Carina Heights",-27.5092,153.0943
Bulimba Creek Catchment Co-ordinating Committee,"Community Garden,Non-Council venue","Bulimba Creek Catchment Co-ordinating Committee, 1358-1368 Old Cleveland Road, Carindale",-27.5022,153.1216
Bulimba Library,Library,"Bulimba Library, 219 Oxford Street, Bulimba",-27.4519,153.0626
"Bulimba Memorial Park, Bulimba",Park,"Bulimba Memorial Park, 129 Oxford Street, Bulimba",-27.4523,153.0572
"Bulimba Riverside Park, Bulimba",Park,"Bulimba Riverside Park, 57 Addison Avenue, Bulimba",-27.4538,153.0538
Bulimba State School Garden,"Community Garden,Non-Council venue","Bulimba State School Garden, 261 Oxford Street, Bulimba",-27.4525,153.065
"Bundabah Drive Park, Calamvale",Park,"Bundabah Drive Park, 31 Bundabah Drive, Calamvale",-27.6168,153.0386
