Trading Name,Outlet Name,Website,Outlet Address,Outlet Suburb,Outlet Postcode,Telephone Number,Online Mail Order Flag,Australia Wide Flag,Overseas Flag,Senior Scheme Flag,Carer Scheme Flag,Business Category,Discount,Latitude,Longitude
1300SMILES,1300SMILES Strathpine,www.1300smiles.com.au,Strathpine Square - 328 Gympie Rd,STRATHPINE,4500,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.306152,152.988847
1300SMILES,1300SMILES Toowoomba,www.1300smiles.com.au,"362B Bridge St, Wilsonton",TOOWOOMBA,4350,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.550037,151.945366
1300SMILES,1300SMILES Townsville City,www.1300smiles.com.au,Northtown - 1st Floor 280 Flinders St,TOWNSVILLE,4810,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.259282,146.817768
1300SMILES,1300SMILES Upper Ross,www.1300smiles.com.au,1199 Riverway Dr,RASMUSSEN,4815,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.360832,146.73148
1300SMILES,1300SMILES Woodlands,www.1300smiles.com.au,Centro Woodlands Shp Cnt,DEERAGUN,4818,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.245792,146.67565
Lady Musgrave Cruises,1770 Great Barrier Reef Cruises,www.lmcruises.com.au,1770 Marina - Captain Cook Dr,TOWN OF 1770,4677,(07) 4974 9077,No,Yes,No,Yes,No,Cruises and Boat Charters,$10 discount on Lady Musgrave Island day cruise on the 'Spirit of 1770'.,-24.168376,151.881725
Lady Musgrave Cruises,1770 Great Barrier Reef Cruises,www.lmcruises.com.au,1770 Marina - Captain Cook Dr,TOWN OF 1770,4677,(07) 4974 9077,No,Yes,No,Yes,No,Holidays and Tours,$10 discount on Lady Musgrave Island day cruise on the 'Spirit of 1770'.,-24.168376,151.881725
1st Choice Group (Aust) Pty Ltd (Elect Lic 35130),"1st Choice Electrical, 1st Choice Airconditioning",(blank),Mobile Service,LOGAN,4123,1300 726 211,No,No,No,Yes,Yes,Electricians,10% discount on materials and 10% discount on labour.,-36.627804,143.483919
1st Solution Home Services,1st Solution Home Services,http://www.1stsolution.com.au,Mobile Business,(blank),4207,0411 087 600,No,No,No,Yes,No,Cleaning Products and Services,15% discount on carpet cleaning or pest control.,-27.781212,153.1413
2 shots espresso,2 shots espresso,www.2shots.com.au,Alexandra Hills Shp Cnt,ALEXANDRA HILLS,4161,0431 370 454,No,Yes,Yes,Yes,Yes,Cafes,10% off full price.,-27.524072,153.22155
23rd Avenue Chempro Chemist,23rd Avenue Chempro Chemist,www.chempro.com.au,cnr Townson Ave/Mawarra St,PALM BEACH,4221,(07) 5576 2866,No,No,No,Yes,No,Pharmacies,10% discount excluding prescriptions and specials.,-33.596351,151.324994
3060 Cafe,3060 Cafe,(blank),Shop 13  71-73 Esplanade,CAIRNS,4870,(07) 4041 0000,No,Yes,No,Yes,Yes,Cafes,20% discount on your total bill.,-16.915009,145.772834
360 Degree Wealth Services,360 Degree Wealth Services,http://www.360degreewealth.com.au,U 28  56 Sanders St,UPPER MOUNT GRAVATT,4122,(07) 3340 3600,No,Yes,No,Yes,No,Financial Services,Free 1 hour initial consultation and 10% discount for the initial financial plan fee.,-27.55847,153.08271
5 Star Handimarket,5 Star Handimarket,(blank),53 Grace St,HERBERTON,4887,(07) 4096 2236,No,Yes,No,Yes,No,Supermarkets and Grocery Stores,5% discount. Excludes specials and tobacco products.,-17.38385,145.385341
5150 Studios,5150 Studios,www.5150Studios.com.au,21 Rockwood Dr,ORMEAU,4208,(07) 5547 5488,No,Yes,No,Yes,Yes,Website Services,Present card for 10% off website design portion.,-27.773753,153.264175
66fit,66fit,http://www.66fit.com.au,U 16  50-52 Kremzow Rd,BRENDALE,4500,(07) 3889 9199,No,Yes,No,Yes,Yes,Sports Stores,10% off all retail prices - In store only.,-27.31628,152.973265
7 Day Chemist,7 Day Chemist,http://www.7daychemist.com.au,150 Horton Pde,MAROOCHYDORE,4558,(07) 5443 6033,No,Yes,Yes,Yes,No,Naturopaths,10% discount to all senior cardholders.,-26.655491,153.091098
8th Avenue Physiotherapy Clinic,8th Avenue Physiotherapy Clinic,www.8thavephysio.com.au,Shop 6  Eighth Ave,PALM BEACH,4221,(07) 5534 3347,No,Yes,No,Yes,Yes,Physiotherapists,Initial consultation $70. Standard consultation $59.,-28.118769,153.470353
A & B Fridge Repairs,A & B Fridge Repairs,(blank),Mobile Service,BEENLEIGH & SURROUNDING AREAS,4207,(07) 3399 5261,No,Yes,No,Yes,Yes,Refrigeration Sales and Services,10% off service calls for guaranteed work in your home.,-27.781212,153.1413
A & B Fridge Repairs,A & B Fridge Repairs,(blank),Mobile Service,BRISBANE - NORTHERN SUBURBS,4170,(07) 3268 6807,No,Yes,No,Yes,Yes,Refrigeration Sales and Services,10% off service calls for guaranteed work in your home.,-27.469957,153.079499
A & B Fridge Repairs,A & B Fridge Repairs,(blank),Mobile Service,BRISBANE - SOUTHERN SUBURBS,4170,(07) 3399 5261,No,Yes,No,Yes,Yes,Refrigeration Sales and Services,10% off service calls for guaranteed work in your home.,-27.469957,153.079499
A & B Fridge Repairs,A & B Fridge Repairs,(blank),Mobile Service,LOGAN & SURROUNDING AREAS,4114,(07) 3399 5261,No,Yes,No,Yes,Yes,Refrigeration Sales and Services,10% off service calls for guaranteed work in your home.,-27.646166,153.109397
A & K Lievesley Electrical and Solar (Elect Lic 70710),A & K Lievesley Electrical Contractors,http://www.akelectrical.com.au/,Mobile Service,GOLD COAST AREA,4214,(07) 5563 1111,No,No,No,Yes,Yes,Electricians,10% discount on service call.  10% off labour.,-27.961738,153.365392
A & L Seafoods,A & L Seafoods,(blank),Burdekin Centre Point,AYR,4807,(07) 4783 2989,No,Yes,No,Yes,Yes,Butchers,10% discount on all seafood products.,-19.574564,147.40733
A & M Parts & Auto Repairs,A & M Parts & Auto Repairs,(blank),38-40 Central St,SARINA,4737,(07) 4956 1614,No,Yes,No,Yes,Yes,Repairs and Servicing,10% discount on parts. Excludes specials.,-21.4235,149.214244
A & W Kitchens (QBCC Act Lic 73022),A and W Kitchens,www.awkitchens.com.au,U 3  17 Benronalds St,SEVENTEEN MILE ROCKS,4073,(07) 3279 1693,No,Yes,No,Yes,Yes,"Bathrooms, Kitchens and Laundries",10% off all domestic cabinet works.,-27.540024,152.957752
A Beautiful Ceremony,A Beautiful Ceremony,www.sites.google.com/site/gcudmore/,(blank),(blank),(blank),0424 659 401,Yes,Yes,Yes,Yes,No,Celebrants,"25% discount on all marriage, naming and funeral services in Brisbane and Redlands area.",(blank),(blank)
A Better Pool & Spa,A Better Pool & Spa,(blank),23 Hudson Pl,BLI BLI,4560,0408 526 243,No,No,No,Yes,Yes,Pools and Spas,"10% off all chemicals, equipment repairs and labour.",-26.60906,153.037631
A Better TV Picture,A Better TV Picture,(blank),Mobile Service,LAIDLEY,4341,(07) 5465 3499,No,Yes,No,Yes,No,TV Antennas,Free TV tuning with antenna installation.,-27.641097,152.410691
A Phillips Electrical,A Phillips Electrical,(blank),37 Barbigal St,STAFFORD,4053,0408 557 219,No,Yes,No,Yes,No,Electricians,Offering a 10% discount on presentation of the Seniors Card.,-27.402805,153.01201
A Plus Carpet Cleaning and Pest Control ,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,BRISBANE - ALL AREAS,4000,1300 650 700,No,No,No,Yes,Yes,Cleaning Products and Services,"10% off pest control, carpet and upholstery cleaning.",-27.46598,153.02394
A Plus Carpet Cleaning and Pest Control ,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,BRISBANE - ALL AREAS,4000,1300 650 700,No,No,No,Yes,Yes,Pest and Termite Control and Inspections,"10% off pest control, carpet and upholstery cleaning.",-27.46598,153.02394
A Plus Carpet Cleaning and Pest Control ,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,IPSWICH AREA,4305,1300 650 700,No,No,No,Yes,Yes,Cleaning Products and Services,"10% off pest control, carpet and upholstery cleaning.",-27.619324,152.755938
A Plus Carpet Cleaning and Pest Control ,A Plus Carpet Cleaning and Pest Control,www.apluscarpets.com.au,Mobile Service,IPSWICH AREA,4305,1300 650 700,No,No,No,Yes,Yes,Pest and Termite Control and Inspections,"10% off pest control, carpet and upholstery cleaning.",-27.619324,152.755938
A R Treasure (QBCC Act Lic 13610),A R Treasure,www.homeimprovementpages.com.au/connect/ar_treasure/,70A Oak St,CHINCHILLA,4413,(07) 4662 7614,No,Yes,No,Yes,Yes,Home Renovations,"10% discount on wall cladding, re-roofing, windows, awnings and patios.",-26.737934,150.638309
A R Treasure (QBCC Act Lic 13610),A R Treasure,www.homeimprovementpages.com.au/connect/ar_treasure/,70A Oak St,CHINCHILLA,4413,(07) 4662 7614,No,Yes,No,Yes,Yes,Roofing and Guttering,"10% discount on wall cladding, re-roofing, windows, awnings and patios.",-26.737934,150.638309
A Touch of Class Ceremonies,A Touch of Class Ceremonies,(blank),(blank),BONGAREE,4507,0439 734 872,No,Yes,No,Yes,Yes,Celebrants,"33.3% discount on all fees - weddings, vow renewals, namings and MC.",-27.079818,153.164115
A Trusted Pest Management Specialist (QBCC Act Lic 1074650),A Trusted Pest Management Specialist,www.trustedpm.com.au,U 4  508 South Pine Rd,EVERTON PARK,4035,1800 801 223,No,Yes,No,Yes,Yes,Pest and Termite Control and Inspections,10% off all general pest services and termite inspections on presentation of card. 5% off building and pest inspections on presentation of card.,-27.407393,152.990452
A Villa Gail,A Villa Gail,www.avillagail.com,36 Janett St,YORKEYS KNOB,4878,(07) 4055 8178,No,Yes,No,Yes,Yes,Accommodation - B and B,10% off rooms and complimentary bottle of wine.,-16.802078,145.72202
A Working Body,A Working Body,(blank),Boston St,BUNDABERG,4670,(07) 4151 0028,No,Yes,No,Yes,Yes,Massage,15% discount on all massage sessions.,-24.885165,152.354386
A1 Awnings,A1 Awnings,www.sunwiseblinds.com.au,68 Kortum Dr,BURLEIGH HEADS,4220,(07) 5520 1830,No,No,No,Yes,Yes,Blinds and Awnings,5% off all services.,-28.102546,153.433139
A1 Discreet Hearing Aids,A1 Discreet Hearing Aids,http://www.discreethearing.com.au,Q Super Centre  - Shop A4  Cnr Bermuda & Markeri Sts,MERMAID WATERS,4218,0403 917 305,No,Yes,Yes,Yes,No,Hearing Products and Services,A1 Discreet Hearing Aids offer a $300.00 discount per pair of hearing aids to Senior cardholders and a free reprogramming service.,-28.047623,153.406995
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Ultimate Performance Exhausts - 349 South Pine Rd,BRENDALE,4500,(07) 3205 3705,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.323787,152.978243
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,A Plus Exhausts & Mechanical - 9 Steptoe St,BUNDABERG,4670,(07) 4151 3414,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-24.864895,152.375601
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Caboolture Exhaust & Mechanical - 52 Beerburrum Rd,CABOOLTURE,4510,(07) 5495 6511,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.078756,152.950589
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,"Tuff Muff Exhausts - 287 Mulgrave Rd, Westcourt",CAIRNS,4870,(07) 4031 1200,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-16.935691,145.754189
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Anything Racing - Shop 1  27 Smith St,CAPALABA,4157,(07) 3040 7223,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.529705,153.199313
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,The Workshop - 21 Railway St,CHINCHILLA,4413,(07) 4662 7186,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.629088,152.396365
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,10 Pharlap Ct,GOONDIWINDI,4390,(07) 4671 4364,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-28.548134,150.319084
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Hervey Bay Brake & Exhaust - 101 Beach Rd,HERVEY BAY,4655,(07) 4124 3166,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-25.286473,152.83092
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Ingham Exhausts & 4x4 Welding - 3 Haig St,INGHAM,4850,(07) 4776 5060,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-18.648935,146.157905
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Innisfail Exhaust Cnt - 196 Edith Rd,INNISFAIL,4860,(07) 4061 1306,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-17.524393,146.020661
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Ipswich Muffler Shop - 224 Brisbane St,IPSWICH,4305,(07) 3281 0444,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.616104,152.751363
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,33 Swan St,LONGREACH,4730,(07) 4658 1558,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-23.444327,144.249889
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Suncoast Car Care - 7 Kelly Ct,MAROOCHYDORE,4558,(07) 5443 2166,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-26.670121,153.0875
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Murgon Motors - 10 Retschlag St,MURGON,4606,(07) 4168 2697,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-26.235016,151.92655
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Burnside Motors - 1 Windsor Rd,NAMBOUR,4560,(07) 5441 1871,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-26.631008,152.952937
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Nanango Motors - 102 Drayton Rd,NANANGO,4615,(07) 4163 1108,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-26.670489,151.999328
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,A1 Exhausts & Mechanical - 18 Whites Rd,PETRIE,4502,(07) 3285 6959,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.270034,152.979796
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Western Exhausts & Suspension - 110 Raglan St,ROMA,4455,(07) 4622 7555,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-26.581089,148.782053
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Sarina Mufflers & Brakes - 46 Broad St,SARINA,4737,(07) 4943 1104,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-21.422656,149.217882
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,A1 Muffler Pro - 615 Seventeen Mile Rocks Rd,SEVENTEEN MILE ROCKS,4073,(07) 3715 5755,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.540839,152.955149
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,St George Radiator & Exhausts - 16 Grey St,ST GEORGE,4487,(07) 4625 3582,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-28.036714,148.579444
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,Sam's Workshop Mechanical - 38 Lock St,STANTHORPE,4380,(07) 4681 1059,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-28.654722,151.937755
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,26 Water St,TOOWOOMBA,4350,(07) 4632 3460,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-27.566235,151.949605
A1 Exhausts,A1 Exhausts,www.a1exhausts.com.au,"Fast Fit Exhaust - 172 Hugh St, Currajong",TOWNSVILLE,4812,(07) 4775 3444,No,Yes,Yes,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off parts and labour. Enquire in store.,-19.272787,146.788406
A1 Exhausts & Mechanical Repairs,A1 Exhausts & Mechanical Repairs,www.a1toowoomba.com.au,24 Water St,TOOWOOMBA,4350,(07) 4632 3460,No,Yes,No,Yes,Yes,Parts and Accessories,20% off exhaust parts. 10% off mechanical parts.,-27.566057,151.949636
A1 Exhausts Gympie,A1 Exhausts Gympie,www.a1exhausts.com.au,15 Brisbane Rd,GYMPIE,4570,(07) 5482 1466,No,Yes,No,Yes,No,Parts and Accessories,10% off exhaust parts only.,-26.201569,152.677499
A1 Mechanical Servicing & Repairs,A1 Mechanical Servicing & Repairs,www.a1mechanical.com.au,57 Morehead St,BUNGALOW,4870,(07) 4035 6119,No,Yes,No,Yes,Yes,Repairs and Servicing,10% discount on labour.,-16.938415,145.760575
A1 Steve's Rubbish Removals,A1 Steve's Rubbish Removals,http://www.stevesrubbishremovals.com.au/,Mobile Business,(blank),4178,(07) 3348 4735,No,Yes,Yes,Yes,Yes,Gardening and Mowing,"Seniors in Brisbane and Greater Brisbane receive a 10% discount off our quoted price - open 7 days. Household, green, office and builder's waste.",-27.358282,153.290163
A1 Steve's Rubbish Removals,A1 Steve's Rubbish Removals,http://www.stevesrubbishremovals.com.au/,Mobile Business,(blank),4178,(07) 3348 4735,No,Yes,Yes,Yes,Yes,Rubbish Removal,"Seniors in Brisbane and Greater Brisbane receive a 10% discount off our quoted price - open 7 days. Household, green, office and builder's waste.",-27.358282,153.290163
AAA Albion Manor Motel,AAA Albion Manor Motel,www.albionmanor.com.au,402 Sandgate Rd,ALBION,4010,(07) 3256 0444,No,Yes,No,Yes,No,Accommodation,10% off accommodation. Not available with other offers.,-27.428345,153.043761
AAA Cat & Dog Doors,AAA Cat & Dog Doors,www.petdoorcompany.com.au,13 Oyster Cove Prom,HELENSVALE,4212,1800 738 699,No,Yes,No,Yes,Yes,Pet Products and Services,10% off cat and dog doors supplied and installed.,-27.885508,153.360429
AAA FNQ Battery Wholesalers,AAA FNQ Battery Wholesalers,www.batterieswholesale.com.au,52 McLeod St,CAIRNS,4870,(07) 4031 4177,No,Yes,No,Yes,Yes,Batteries,15% discount on recommended retail price. Excludes sale items and special offers.,-16.923174,145.772105
AAA FNQ Battery Wholesalers,AAA FNQ Battery Wholesalers,www.batterieswholesale.com.au,"U 3  209 Ingham Rd, Garbutt",TOWNSVILLE,4814,(07) 4779 6888,No,Yes,No,Yes,Yes,Batteries,15% discount on recommended retail price. Excludes sale items and special offers.,-19.263312,146.725034
AAA Locksmiths,AAA Locksmiths,http://aaalocks.net.au,Mobile Business,(blank),4878,0417 216 774,No,Yes,Yes,Yes,Yes,Security Screens and Doors,"We offer a seniors, carers and pensioners discount of 10% discount to the service call.",-16.841241,145.713751
Aamys Towing Service,Aamys Towing Service,(blank),260 King St,CABOOLTURE,4510,(07)  5495 1504,No,Yes,No,Yes,Yes,Roadside Assistance and Towing,Trade towing prices.,-27.077854,152.930482
Aaron J Little Air Conditioning & Refrigeration,Aaron J Little Air Conditioning & Refrigeration,http://www.ajlairandfridge.com.au,Mobile Business,(blank),4870,0427 275 935,No,Yes,Yes,Yes,Yes,Air Conditioning and Heating,20% discount on total goods and services.,-17.041376,145.660078
AAumann Valerie,AAumann Valerie,(blank),(blank),CURRUMBIN WATERS,4223,(07) 5598 1543,No,Yes,No,Yes,Yes,Celebrants,"$100 off weddings, revows and others. Cardholders only.",-28.154149,153.462742
ABBA Pest Control (QBCC Act Lic 56887),ABBA Pest Control,www.abbapestcontrol.com.au ,Mobile Service. Call 0412 737 172 or,MUDGEERABA,4213,(07) 5502 1511,No,Yes,Yes,Yes,Yes,Pest and Termite Control and Inspections,10% off. Call offices direct or mobile.,-28.093718,153.349005
ABBA Pest Control (QBCC Act Lic 56887),ABBA Pest Control,www.abbapestcontrol.com.au ,Mobile Service. Call 0412 737 172 or,NERANG,4211,(07) 5502 1511,No,Yes,Yes,Yes,Yes,Pest and Termite Control and Inspections,10% off. Call offices direct or mobile.,-27.981062,153.312272
ABBA Pest Control (QBCC Act Lic 56887),ABBA Pest Control,www.abbapestcontrol.com.au ,Mobile Service. Call 0412 737 172 or,PALM BEACH,4221,(07) 5502 1511,No,Yes,Yes,Yes,Yes,Pest and Termite Control and Inspections,10% off. Call offices direct or mobile.,-33.596351,151.324994
ABBA Pest Control (QBCC Act Lic 56887),ABBA Pest Control,www.abbapestcontrol.com.au ,Mobile Service. Call 0412 737 172 or,SOUTHPORT,4215,(07) 5502 1511,No,Yes,Yes,Yes,Yes,Pest and Termite Control and Inspections,10% off. Call offices direct or mobile.,-12.730334,130.952822
Abbco Brake Service,Abbco Brake Service,www.abbcobrakes.com.au,78 Davenport St,SOUTHPORT,4215,(07) 5532 3070,No,Yes,No,Yes,Yes,"Brakes, Exhausts, Steering and Suspension",10% off goods and services. Excludes roadworthy certs.,-27.965519,153.410849
Abbey Museum of Art & Archaeology,Abbey Museum of Art & Archaeology,www.abbeymuseum.asn.au,1-63 The Abbey Pl,CABOOLTURE,4510,(07) 5495 1652,No,Yes,Yes,Yes,Yes,Museums and Cultural Centres,"$8.50 admission for seniors, and carers FREE.",-27.065028,153.023371
Abbey Museum of Art & Archaeology,Abbey Museum of Art & Archaeology,www.abbeymuseum.asn.au,1-63 The Abbey Pl,CABOOLTURE,4510,(07) 5495 1652,No,Yes,Yes,Yes,Yes,Tourist Attractions,"$8.50 admission for seniors, and carers FREE.",-27.065028,153.023371
Abbey Cladding (QBCC Act Lic 19819),Abbey Thermal Boards,www.abbeythermalboards.com.au,Mobile Service,"BRISBANE, REDCLIFFE & PINE RIVERS",4000,(07) 3252 8966,No,Yes,No,Yes,Yes,Wall Cladding,$400 discount on materials and labour (full house) excludes special discounts.,-27.46598,153.02394
Abbey Cladding (QBCC Act Lic 19819),Abbey Thermal Boards,www.abbeythermalboards.com.au,Mobile Service,CENTRAL QLD & WIDE BAY AREA,4702,1800 621 113,No,Yes,No,Yes,Yes,Wall Cladding,$400 discount on materials and labour (full house) excludes special discounts.,-23.6767,149.984795
Abbey Cladding (QBCC Act Lic 19819),Abbey Thermal Boards,www.abbeythermalboards.com.au,Mobile Service,DARLING DOWNS,4350,1800 621 113,No,Yes,No,Yes,Yes,Wall Cladding,$400 discount on materials and labour (full house) excludes special discounts.,-32.194866,115.990108
