Name,Category,Website,Address,Suburb,Postcode,Telephone Phone,Latitude,Longitude
Anzac Park Olympic Pool,Health and Fitness,http://www.bundaberg.qld.gov.au,19 Quay St,BUNDABERG CENTRAL,4670,(07) 4151 5640,-24.864213,152.348822
Aramac Swimming Pool,Health and Fitness,http://www.barcaldinerc.qld.gov.au,Gordon Street,ARAMAC,4726,(07) 4651 5600,-22.971593,145.24247
Aramac Town Hall,Sport and Recreation,http://www.barcaldinerc.qld.gov.au,Lodge Street,ARAMAC,4726,(07) 4651 5600,-22.973126,145.244948
Archer Park Rail Museum,Tourist Attraction,http://www.qldrailheritage.com/archerpark/,Denison St,ROCKHAMPTON,4700,(07) 4922 2774,-23.372204,150.503548
Archerfield Speedway - Speedway Events,Sport and Recreation,http://www.brisbanespeedway.com.au,63 Colebard St West,ARCHERFIELD,4108,(07) 3277 7745,-27.578105,153.000421
Artspace,Theatre and Arts,http://www.artspacemackay.com.au,"Civic Centre Precinct, Gordon St",MACKAY,4740,(07) 4961 9722,-21.142496,149.182158
ATC Rodeo,Sport and Recreation,(blank),Sportsgrounds,APPLE TREE CREEK,4671,0404 468 226,-25.232304,152.221733
Ausdance Qld - Australian Dance Council,Theatre and Arts,http://www.ausdanceqld.org.au,"Judith Wright Centre, 420 Brunswick St",FORTITUDE VALLEY,4006,(07) 3852 3655,-27.456794,153.035591
Australia Zoo,Tourist Attraction,http://www.australiazoo.com.au,1638 Steve Irwin Way,BEERWAH,4519,(07) 5436 2000,-26.835574,152.96222
Australian Butterfly Sanctuary,Tourist Attraction,http://www.australianbutterflies.com,8 Rob Veivers Drive,KURANDA,4881,(07) 4093 7575,-16.819821,145.632502
Australian Chamber Orchestra QPAC,Theatre and Arts,http://www.aco.com.au,Cnr Grey/Melbourne Streets,SOUTH BRISBANE,4101,(07) 3840 7444,-27.473978,153.018398
Australian Lure Fly and Outdoors Expo,Festivals and Shows,http://www.lureshow.com.au,Check website for details,IPSWICH,4305,0423 464 311,-27.622856,152.760331
Australian Rugby Union-Wallaby Tests & Sevens Mtch,Sport and Recreation,http://www.rugby.com.au,Check website for details,QUEENSLAND,4000,(02) 8005 5584,-22.486941,144.43167
Australian String Quartet,Theatre and Arts,http://www.asq.com.au,Adelaide Town Hall,ADELAIDE,5005,(08) 8303 3748,-34.928691,138.601019
Australian Whale Watching,Tourist Attraction,http://www.australianwhalewatching.com.au,Marina Mirage,MAIN BEACH,4217,(07) 3630 2463,-27.944333,153.425134
B Transformed,Health and Fitness,http://www.btransformed.com.au,1/47 Bourbong Street,BUNDABERG,4670,(07) 4154 3223,-24.866753,152.345058
Babinda Swimming Pool,Health and Fitness,http://www.ymca.org.au,26 Church St,BABINDA,4861,(07) 4067 1211,-17.342415,145.921919
Bakers Military Memorabilia Museum,Tourist Attraction,(blank),Ashby Lane,CHILDERS,4660,(07) 4126 1545,-25.236925,152.279545
Balmoral Cinemas - Conditions apply see website,Cinema,http://www.cineplex.com.au,160 Oxford St,BULIMBA,4171,(07) 3395 6086,-27.451309,153.058925
Banana Shire Council,Council,http://www.banana.qld.gov.au,"Biloela, Moura, Taroom",BILOELA,4715,(07) 4992 4052,-24.39752,150.51596
Barcaldine Regional Council,Council,http://www.barcaldinerc.qld.gov.au,71 Ash Street,BARCALDINE,4725,(07) 4651 5600,-23.554189,145.288966
Barcaldine Swimming Pool,Health and Fitness,http://www.barcaldinerc.qld.gov.au,Wilga Street,BARCALDINE,4725,(07) 4651 5600,-23.552216,145.297562
Barcaldine Town Hall,Sport and Recreation,http://www.barcaldinerc.qld.gov.au,71 Ash Street,BARCALDINE,4725,(07) 4651 5600,-23.554189,145.288966
Bauhinia House,Sport and Recreation,http://www.rockhamptonregion.qld.gov.au,Cnr Berserker/High Sts,NORTH ROCKHAMPTON,4701,(07) 4928 2320,-23.359113,150.530558
Bay Connect - Computer classes,Sport and Recreation,(blank),189 Bideford St,TORQUAY,4655,(07) 4197 4660,-25.292469,152.868735
Bay Connect - Photography classes,Sport and Recreation,(blank),189 Bideford St,TORQUAY,4655,(07) 4197 4660,-25.292469,152.868735
Beach 2 Bush Adventure Hire - Bike Hire,Sport and Recreation,http://www.adventurehire.com.au, Coolum Beach,SUNSHINE COAST,4573,0439 706 206,-26.500001,153
Beach 2 Bush Adventure Hire - Bike Tours,Sport and Recreation,http://www.adventurehire.com.au,Coolum Beach,SUNSHINE COAST,4573,0439 706 206,-26.500001,153
Beach 2 Bush Adventure Hire - Surfboard Hire,Sport and Recreation,http://www.adventurehire.com.au,Coolum Beach,SUNSHINE COAST,4573,0439 706 206,-26.500001,153
Beaudesert Show,Festivals and Shows,http://www.beaudesertshow.org.au,Albert St,BEAUDESERT,4285,(07) 5541 4037,-27.991009,152.998836
Beaudesert Swimming Pool,Health and Fitness,http://www.scenicrim.qld.gov.au,Brisbane St,BEAUDESERT,4285,(07) 5463 3081,-27.980793,152.994638
Beenleigh Aquatic Centre,Health and Fitness,http://www.logan.qld.gov.au,Alamein St,BEENLEIGH,4207,(07) 3287 2163,-27.720353,153.203363
Beerwah Swimming Pool,Health and Fitness,http://www.sunshinecoast.qld.gov.au,Roberts Rd,BEERWAH,4519,(07) 5494 0022,-26.861497,152.957
Bell Bunya Community Centre,Entertainment,http://www.wdrc.qld.gov.au,71 Maxwell Street,BELL,4408,(07) 4679 4000,-26.92988,151.447772
Ben & Jerry's Openair Cinemas (check website),Cinema,http://www.openaircinemas.com.au,Rainforest Green,SOUTH BANK,4101,(07) 0000 0000,-35.471937,149.099652
Bethania Aquatic Centre,Health and Fitness,http://www.logan.qld.gov.au,88-118 Station Rd,BETHANIA,4205,(07) 3805 6032,-27.695214,153.155399
Big Cat Green Island Reef Cruises,Tourist Attraction,http://www.greenisland.com.au,The Reef Fleet Terminal,CAIRNS,4870,(07) 4051 0444,-16.922834,145.778942
Biloela Civic Centre,Entertainment,http://www.banana.qld.gov.au/civic-centre,Cnr Rainbow/Prairie Sts,BILOELA,4715,(07) 4992 1511,-24.39752,150.51596
Biloela Swimming Pool,Health and Fitness,http://www.banana.qld.gov.au,Cnr Rainbow/Prairie Sts,BILOELA,4715,(07) 4992 1445,-24.39752,150.51596
Birdworld Kuranda,Tourist Attraction,http://www.birdworldkuranda.com.au,Rob Veivers Dr,KURANDA,4881,(07) 4093 9188,-16.823772,145.630804
Blackall Show,Festivals and Shows,(blank),"Blackall Showgrounds, Salvia St",BLACKALL,4472,(07) 4657 6403,-24.42537,145.478603
Blackwater International Coal Centre,Tourist Attraction,http://www.bicc.com.au,Cnr Capricorn Hwy/Littlefield Street,BLACKWATER,4717,(07) 4982 7755,-23.485591,148.791345
Bodiez 24/7 Fitness,Sport and Recreation,http://www.bodiezfitness.com.au,4/260 Brisbane Street,WEST IPSWICH,4305,0412 140 431,-27.61949,152.749922
Bond University Fitness Centre,Health and Fitness,http://www.bond.edu.au,University Dr,ROBINA,4226,(07) 5595 4100,-28.07117,153.414105
Boonah & District Cultural Centre,Theatre and Arts,http://www.scenicrim.qld.gov.au,3 High St,BOONAH,4310,(07) 5463 3081,-27.998526,152.681764
Boonah Show Society,Festivals and Shows,http://www.boonahshowsociety.org.au,Boonah Showground,BOONAH,4310,(07) 5463 1124,-27.997943,152.68515
Boonah Swimming Pool,Health and Fitness,http://www.scenicrim.qld.gov.au,Macquarie St,BOONAH,4310,(07) 5463 3081,-27.99807,152.688455
Bowen Transit,Transport,http://www.transnorthbus.com/bowen.asp,10 Powell St,BOWEN,4805,(07) 4786 4414,-20.010519,148.248433
Brennan and Geraghty's Store and Residences,Tourist Attraction,http://nationaltrust.org.au,64 Lennox St,MARYBOROUGH,4650,(07) 4121 2250,-25.542131,152.696695
Bribie Island Aquatic Centre,Health and Fitness,http://www.moretonbay.qld.gov.au,Goodwin Dr,BRIBIE ISLAND,4507,(07) 3410 0200,-27.074205,153.163796
Bribie Island Coaches,Transport,http://www.bribiecoaches.com.au/,20-26 Armitage St,BRIBIE ISLAND,4507,(07) 3408 2562,-27.078189,153.178434
Brisbane Airtrain,Transport,http://www.airtrain.com.au,Domestic/International Airport Stations ,BRISBANE AIRPORT,4007,(07) 3216 3308,-27.38837,153.113203
Brisbane Aquatic Centre,Health and Fitness,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Brisbane Arts Theatre - Performances,Theatre and Arts,http://www.artstheatre.com.au,210 Petrie Tce,BRISBANE,4000,(07) 3369 2344,-27.465812,153.01216
Brisbane Bus Lines,Transport,http://www.brisbanebuslines.com.au,Check website for details,BRISBANE,4051,(07) 3355 0034,-27.467781,153.02806
Brisbane Cruises,Tourist Attraction,http://www.brisbanecruises.com.au,Kingsford Smith Dr,HAMILTON,4007,(07) 3630 2666,-27.439886,153.051034
Brisbane Festival,Festivals and Shows,http://www.brisbanefestival.com.au,Check website for details,VARIOUS VENUES AND EVENTS,4000,(07) 3833 5419,-27.46598,153.02394
Brisbane Jazz Club,Theatre and Arts,http://www.brisbanejazzclub.com.au,1 Annie Street,KANGAROO POINT,4169,(07) 3391 2006,-27.466502,153.034409
Brisbane Lions,Sport and Recreation,http://www.lions.com.au,Gate 2 Stanley St,WOOLLOONGABBA,4102,1300 446 925,-27.485447,153.029155
Brisbane Mother's Day Classic,Sport and Recreation,http://www.mothersdayclassic.com.au,Southbank - see website for details,BRISBANE,4000,(07) 3139 0397,-27.467781,153.02806
Brisbane Philharmonic Orchestra,Theatre and Arts,http://www.bpo.org.au,Various venues throughout S.E.Qld,BRISBANE,4060,(07) 3847 1717,-27.467781,153.02806
Brisbane Powerhouse - most ticketed events,Theatre and Arts,http://www.brisbanepowerhouse.org,119 Lamington Street,NEW FARM,4005,(07) 3358 8600,-27.468381,153.053421
Brisbane Racing Club (Race Days),Sport and Recreation,http://www.brc.com.au,"ASCOT,  EAGLE FARM and DOOMBEN Racecourse",BRISBANE RACING CLUB (RACE DAYS),4007,(07) 3268 2171,-27.435019,153.066896
Brisbane River Golf Club,Sport and Recreation,http://www.brisbanerivergolf.com.au,Golf Club  212 College Rd,KARANA DOWNS,4306,(07) 3201 0833,-27.542231,152.831767
Brisbane Roar (Suncorp Stadium),Sport and Recreation,http://www.brisbaneroar.com.au,Castlemaine Street,MILTON,4064,(07) 3331 5000,-27.464473,153.008565
Brisbane Symphonic Band,Theatre and Arts,http://www.brisbanesymphonicband.com,Check website for details,BRISBANE,4000,0407 622 271,-27.467781,153.02806
Brolga Theatre,Theatre and Arts,http://www.brolgatheatre.org,5 Walker St,MARYBOROUGH,4650,(07) 4122 6000,-25.534302,152.706173
Brookfield Show,Festivals and Shows,http://www.brookfieldshow.com,550 Brookfield Rd,BROOKFIELD,4069,(07) 3374 0040,-27.494043,152.911817
Buderim Pool,Health and Fitness,http://www.sunshinecoast.qld.gov.au,Cnr Lindsay and King St,BUDERIM,4556,(07) 5445 6685,-26.679189,153.037368
Bundaberg Greyhound Racing Club,Sport and Recreation,http://www.racingqueensland.com.au,Maynard St,BUNDABERG,4670,(07) 4152 2033,-24.889008,152.345963
Bundaberg Race Club,Sport and Recreation,http://www.queenslandracing.com.au,Maynard St,BUNDABERG,4670,(07) 4153 1416,-24.889008,152.345963
Bundaberg Railway Historical Society Inc.,Tourist Attraction,(blank),28 Station St,NTH BUNDABERG,4670,0407 134 809,-24.858383,152.330128
Bundaberg Services Club,Entertainment,http://www.bundyservicesclub.com,17 Quay St,BUNDABERG ,4670,(07) 4132 6500,-24.864218,152.34934
Bundaberg YMCA Recreation Centre,Health and Fitness,http://www.bundaberg.ymca.org.au,7 Quinn St,BUNDABERG,4670,(07) 4132 8211,-24.876087,152.367696
Bundy Bowl & Leisure Complex - Mini Golf,Sport and Recreation,http://www.bundybowl.com.au,17 Lester St,BUNDABERG,4670,(07) 4152 4334,-24.890453,152.350043
Bundy Bowl & Leisure Complex - Tenpin Bowling,Sport and Recreation,http://www.bundybowl.com.au,17 Lester St,BUNDABERG,4670,(07) 4152 4334,-24.890453,152.350043
Burdekin Race Club,Sport and Recreation,(blank),Bruce Highway,HOME HILL,4806,(07) 4782 8212,-19.672561,147.418286
Burdekin River V-Twin & Vintage Charity Bike Show,Festivals and Shows,(blank),Showgrounds,CHARTERS TOWERS,4820,0428 511 186,-20.000001,146.23333
Burdekin Theatre,Theatre and Arts,http://www.burdekintheatre.com.au,161 Queen Street,AYR,4807,(07) 4783 9882,-19.576599,147.404244
Burnett River Cruises,Transport,http://www.burnettrivercruises.com.au/,3 Quay St,BUNDABERG,4670,(07) 4152 9188,-24.862946,152.352854
Burpengary Regional Aquatic & Leisure Centre,Health and Fitness,http://burpengaryralc.com.au,1 Aquatic Centre Dr,BURPENGARY,4505,(07) 5431 3500,-27.134812,152.973659
Caboolture Bus Lines,Transport,http://www.caboolturebuslines.com.au,38 Aerodrome Rd,CABOOLTURE,4510,(07) 5495 4744,-27.082402,152.98003
Caboolture Historical Village,Tourist Attraction,http://www.historicalvillage.com.au,280 Beerburrum Rd,CABOOLTURE,4510,(07) 5495 4581,-27.05965,152.947237
Caboolture Swimming Pool,Health and Fitness,http://www.moretonbay.qld.gov.au,King Street,CABOOLTURE,4510,(07) 5498 9084,-27.075264,152.927153
Cairns Art Gallery,Theatre and Arts,http://www.cairnsartgallery.com.au,Cnr Shields/Abbott Sts,CAIRNS,4870,(07) 4046 4800,-16.921272,145.776811
Cairns Auto Spectacular,Festivals and Shows,http://www.cairnsshow.com.au,Cnr Severin St/Mulgrave Rd,CAIRNS,4870,(07) 4042 6699,-16.925143,145.764558
Cairns Historical Museum,Tourist Attraction,http://www.cairnsmuseum.org.au,"School of the Arts, Cnr Shields Lake Sts",CAIRNS,4870,(07) 4051 5582,-16.923732,145.772732
Cairns Performing Arts Centrre,Theatre and Arts,http://www.cct.com.au,Cnr Florence & Sheridan Sts,CAIRNS,4870,1300 855 835,-16.920377,145.770903
Cairns Regional Council,Council,http://www.cairns.qld.gov.au,119-145 Spence St,CAIRNS,4870,(07) 4032 6600,-16.930823,145.770653
Cairns Road Runners,Sport and Recreation,http://www.roadrunners.org.au,info@roadrunners.org.au,CAIRNS,4870,0450 324 637,-16.913723,145.77089
Cairns Show,Festivals and Shows,http://www.cairnsshow.com.au,Cnr Severin St/Mulgrave Rd,CAIRNS,4870,(07) 4042 6699,-16.925143,145.764558
Cairns Taipans Home Games (Convention Centre),Sport and Recreation,http://www.taipans.com,Cnr Wharf & Sheridan Sts,CAIRNS,4870,(07) 4041 3000,-16.928959,145.777853
Cairns Tropical Zoo,Tourist Attraction,http://www.cairnstropicalzoo.com ,Captain Cook Hwy,PALM COVE,4879,(07) 4055 3669,-16.742524,145.663902
Cairns Wildlife Dome,Tourist Attraction,http://www.cairnsdome.com.au,35-41 Wharf Street,CAIRNS,4870,(07) 4031 7250,-16.927778,145.778101
Cairns Wine Awards,Festivals and Shows,http://www.cairnsshow.com.au,Cnr Severin St/Mulgrave Rd,CAIRNS,4870,(07) 4042 6699,-16.925143,145.764558
Caloundra Aquatic Centre,Health and Fitness,http://www.caloundra-aquatic.com.au,Central Park Rd,CALOUNDRA,4551,(07) 5491 8799,-26.798603,153.128103
Caloundra Chorale Hall,Theatre and Arts,http://www.caloundrachorale.com.au,30 Naroon Cres,WURTULLA,4575,(07) 5493 2326,-26.758572,153.12455
Caloundra Music Festival,Festivals and Shows,http://www.caloundramusicfestival.com,"Kings Beach Parklands, Burgess Street",CALOUNDRA,4560,(07) 5475 7272,-26.802588,153.142691
Camp Draft,Festivals and Shows,(blank),Rangemore Rd,COOYAR,4402,(07) 4692 6164,-26.965419,151.834119
Canungra Swimming Pool,Health and Fitness,http://www.scenicrim.qld.gov.au,Moriarty Park,CANUNGRA,4275,(07) 5463 3081,-28.038049,153.13678
Capella Cultural Centre,Entertainment,http://www.capellaentertainment.com.au/,Peak Downs St,CAPELLA,4723,(07) 4984 9300,-23.084509,148.022516
Capricorn Sunbus,Transport,http://www.sunbus.com.au,82 McLaughlin St,NORTH ROCKHAMPTON,4701,(07) 4936 2133,-23.326984,150.507828
Cassowary Coast Regional Council,Council,http://www.cassowarycoast.qld.gov.au,70 Rankin Street,INNISFAIL,4860,(07) 4030 2250,-17.523019,146.030153
CBJ the Health Club,Health and Fitness,http://www.cbj.com.au,568 Kessels Rd,MACGREGOR,4109,(07) 3343 5711,-27.560929,153.071069
Centre of Contemporary Arts Cairns,Theatre and Arts,http://www.artscairns.com.au,96 Abbott St,CAIRNS,4870,(07) 4050 9401,-16.918153,145.774665
Champion's Ride Days,Sport and Recreation,http://championsridedays.com.au/,See Website for Events,STATEWIDE,4000,(07) 3287 4144,-27.46598,153.02394
Chandler Arena,Sport and Recreation,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Chandler Theatre,Theatre and Arts,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Chandler Velodrome,Sport and Recreation,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9611,-27.508452,153.149302
Charleville Agricultural Show,Festivals and Shows,http://www.charlevilleshow.com,Partridge Street,CHARLEVILLE,4470,(07) 4654 2290,-26.398247,146.257918
Charters Towers Amateur Race Club,Sport and Recreation,(blank),Racecourse,CHARTERS TOWERS,4820,(07) 4787 1794,-20.000001,146.23333
Charters Towers Motor Show & Swapmeet,Festivals and Shows,http://www.ctrc.com.au,SHOWGROUNDS,CHARTERS TOWERS,4820,0488 660 757,-20.000001,146.23333
Charters Towers Show,Festivals and Shows,(blank),Showgrounds,CHARTERS TOWERS,4820,(07) 4787 7292,-20.000001,146.23333
Chermside Aquatic Centre,Health and Fitness,http://www.cityaquaticsandhealth.com.au,375 Hamilton Rd,CHERMSIDE,4032,1300 733 053,-27.386024,153.035213
Childers Show,Festivals and Shows,(blank),Ridgeway Street,CHILDERS,4671,0404 468 226,-25.233059,152.273573
Chillagoe-Mungana Caves National Park,Tourist Attraction,http://www.npsr.qld.gov.au,5B Sheridan St,CAIRNS,4870,(07) 4046 6600,-16.927379,145.775929
Chinchilla Agricultural & Pastoral Assoc Inc,Festivals and Shows,(blank),2 Zeller Street,CHINCHILLA,4413,(07) 4662 7194,-26.751758,150.619787
Chinchilla Aquatic & Fitness Centre - Pool entry,Health and Fitness,http://www.swimwiseaquatics.com.au,97 Middle St,CHINCHILLA,4413,(07) 4662 7516,-26.744168,150.630071
Chinchilla Cultural Centre,Entertainment,http://www.wdrc.qld.gov.au,86 Heeney Street,CHINCHILLA,4413,(07) 4679 4000,-26.740637,150.624859
Chinchilla Ironbark Theatre,Cinema,http://www.wdrc.qld.gov.au,86 Heeney St,CHINCILLA,4413,(07) 4662 7633,-26.740637,150.624859
Christensen Bus and Coach,Transport,(blank),Saleyard Rd,KILCOY,4515,(07) 5497 1478,-26.944098,152.572004
Cineplex South Bank - Conditions apply see website,Cinema,http://www.cineplex.com.au,167 Grey St,SOUTH BANK,4101,(07) 3846 5188,-27.478813,153.021337
Cineplex Victoria Point - Conditions apply see web,Cinema,http://www.cineplex.com.au,27 Bunker Road,VICTORIA POINT,4165,(07) 3829 7900,-27.586362,153.278848
Circus Oz (Statewide),Festivals and Shows,http://www.circusoz.com,Check website for details,VARIOUS VENUES AND EVENTS,4000,(03) 9646 8899,-27.46598,153.02394
Circus Royale (Statewide),Festivals and Shows,http://www.circusroyale.com.au,Various venues,QUEENSLAND,4000,0410 669 253,-22.486941,144.43167
City Fitness Health Club,Health and Fitness,http://www.cityfitness.com.au,1b Victoria Street,MACKAY,4740,(07) 4957 8269,-21.142941,149.196108
Clem Jones Sport Centre,Health and Fitness,http://www.clemjonescentre.com.au,56 Zahel Street,CARINA,4152,(07) 3398 2107,-27.492736,153.098694
Clermont Annual Show,Festivals and Shows,http://www.clermontshow.com.au ,Clermont Showgrounds,CLERMONT,4721,(07) 4983 3023,-22.83242,147.651405
Clermont Sports Centre,Health and Fitness,http://www.clermontsportscentre.com,7 Jupiter Street,CLERMONT,4721,(07) 4983 1422,-22.82374,147.646211
Cleveland Aquatic Centre,Health and Fitness,http://www.clevelandac.com.au,222 Russell Street,CLEVELAND,4163,(07) 3286 2723,-27.528716,153.253856
Cloncurry & District Show,Festivals and Shows,http://www.cloncurryshow.com.au,Daintree St,CLONCURRY,4824,(07) 4742 0078,-20.704399,140.494912
Club Coops,Health and Fitness,http://www.clubcoops.com.au,751 Beams Road,CARSELDINE,4034,(07) 3263 5233,-27.344844,153.00919
Cobb+Co Museum,Tourist Attraction,http://www.cobbandco.qm.qld.gov.au,27 Lindsay St,TOOWOOMBA,4350,(07) 4659 4900,-27.555692,151.964603
Conservatorium of Music,Theatre and Arts,http://www.cassowarycoast.qld.gov.au,River Avenue,INNISFAIL,4860,(07) 4030 2250,-17.545522,146.026594
Cooee Bay Swimming Pool,Health and Fitness,http://www.rockhamptonregion.qld.gov.au,Matthew Flinders Dr,YEPPOON,4703,(07) 4939 5029,-23.140104,150.755018
Coolum Civic Centre,Theatre and Arts,http://www.sunshinecoast.qld.gov.au,Park St,COOLUM BEACH,4573,(07) 5475 7777,-26.530737,153.091352
Coolum Peregian Aquatic Centre,Health and Fitness,http://www.swimfit.com.au,David Low Way,COOLUM BEACH,4573,(07) 5473 9042,-26.514509,153.08811
Cooyar Annual Show,Festivals and Shows,(blank),Rangemore Rd,COOYAR,4402,(07) 4692 6164,-26.965419,151.834119
Cotton Tree Aquatic Centre,Health and Fitness,http://www.swimfit.com.au,The Esplanade,COTTON TREE,4558,(07) 5443 5601,-26.654028,153.092931
Council Kickstart CQ Activities,Sport and Recreation,http://www.kickstartcq.com.au,Various venues,ROCKHAMPTON,4700,1300 225 577,-23.400001,150.5
Cowboys Rugby League Football,Sport and Recreation,http://www.cowboys.com.au,Golf Links Dr (conditions apply) - call,KIRWAN,4817,1300 462 692,-19.303442,146.725527
Crocodile Explorer,Tourist Attraction,http://www.crocodileexplorer.com.au,"1 Spence St, The Reef Fleet Terminal",CAIRNS,4870,(07) 4031 4007,-16.925691,145.774238
Currumbin Wildlife Sanctuary,Tourist Attraction,http://www.cws.org.au,28 Tomewin St,CURRUMBIN,4223,(07) 5534 1266,-28.136139,153.488649
Dalby Aquatic Centre ,Health and Fitness,http://www.swimwiseaquatics.com.au,58E Patrick St,DALBY,4405,(07) 4662 2039,-27.184063,151.267039
Dalby Civic Theatre,Cinema,http://www.wdrc.qld.gov.au,107 Drayton St,DALBY,4405,(07) 4662 5388,-27.188713,151.269217
Dalby Show,Festivals and Shows,(blank),Nicholson St,DALBY,4405,(07) 4662 5251,-27.182552,151.254066
Darling Downs Zoo,Tourist Attraction,http://www.darlingdownszoo.com.au,21 Baines Rd,PILTON,4361,(07) 4696 4107,-27.892657,152.02641
David Fleay Wildlife Park,Tourist Attraction,http://www.npsr.qld.gov.au,West Burleigh Rd,BURLEIGH HEADS,4220,(07) 5576 2411,-28.108992,153.44094
Davis Cup Matches,Sport and Recreation,http://www.queenslandtenniscentre.com.au/,"Qld Tennis Centre, 190 King Arthur Tce",TENNYSON,4105,13 28 49,-34.894643,138.488185
Day Out With Thomas,Tourist Attraction,http://www.theworkshops.qm.qld.gov.au,North St,IPSWICH,4305,(07) 3432 5100,-27.598646,152.757904
Dayboro Annual Show,Festivals and Shows,http://www.dayboroshowsociety.com,3512 Mt Mee Rd,DAYBORO,4521,(07) 3425 1156,-27.190322,152.820858
Dayboro Pool & Gym,Health and Fitness,http://www.dayboropool.com.au,37 Williams St,DAYBORO,4521,(07) 3425 1463,-27.195153,152.826698
Deception Bay Aquatic and Fitness Centre,Health and Fitness,http://www.moretonbay.qld.gov.au/pools/,155-157 Maine Tce,DECEPTION BAY,4508,(07) 3203 0055,-27.19169,153.025026
Dendy Cinema Coorparoo,Cinema,http://www.dendy.com.au,300 Old Cleveland Rd,COORPAROO,4151,(07) 3137 6000,-27.494639,153.057718
Dendy Cinemas,Cinema,http://www.dendy.com.au,Portside Wharf Remora Road,HAMILTON,4007,(07) 3137 6000,-34.225572,138.900256
Dirranbandi Show,Festivals and Shows,(blank),Jane St,DIRRANBANDI,4486,(07) 4625 8637,-28.576265,148.230403
